,OBJECTID,collection_method,created_date,created_user,difficulty,difficulty_max,difficulty_min,difficulty_outlier,last_edited_date,last_edited_user,name,name_common,name_river,name_section,nav_link_aw,notes,reach_id,side_of_river,type,SHAPE
0,1,,,,III+(V+),III+,,V+,,,,,Alsek,Haines Junction to Dry Bay,http://www.americanwhitewater.org/content/River/detail/id/1/,,1,,putin,"{'x': -137.50599999999997, 'y': 60.74600000000004, 'spatialReference': {'wkid': 4269, 'latestWkid': 4269}}"
1,2,,,,I-IV,IV,I,,,,,,Aniakchak,Surprise Lake to Aniakchak Bay,http://www.americanwhitewater.org/content/River/detail/id/2/,,2,,putin,"{'x': -158.08099999999996, 'y': 56.90600000000006, 'spatialReference': {'wkid': 4269, 'latestWkid': 4269}}"
2,3,,,,III,III,,,,,,,Browns Creek,Browns Creek Canyon,http://www.americanwhitewater.org/content/River/detail/id/3/,,3,,putin,"{'x': -145.91399999999996, 'y': 60.95420000000007, 'spatialReference': {'wkid': 4269, 'latestWkid': 4269}}"
3,4,,,,IV,IV,,,,,,,Canyon Creek,Seward Highwy at outlet of Lower Summit Lake to Seward Hwy at Hope Junction,http://www.americanwhitewater.org/content/River/detail/id/4/,,4,,putin,"{'x': -149.47601899599997, 'y': 60.66575888800003, 'spatialReference': {'wkid': 4269, 'latestWkid': 4269}}"
4,5,,,,III,III,,,,,,,Charley,Upper river gravel bar to Yukon River to Circle,http://www.americanwhitewater.org/content/River/detail/id/5/,,5,,putin,"{'x': -143.2228755, 'y': 64.56171038700006, 'spatialReference': {'wkid': 4269, 'latestWkid': 4269}}"
5,6,,,,V+,V+,,,,,,,Chetaslina,Chichokna River to Copper River,http://www.americanwhitewater.org/content/River/detail/id/6/,,6,,putin,"{'x': -144.50699999999998, 'y': 61.89360000000005, 'spatialReference': {'wkid': 4269, 'latestWkid': 4269}}"
6,7,,,,III,III,,,,,,,Chickaloon,30 Mile Airstrip to Matanuska,http://www.americanwhitewater.org/content/River/detail/id/7/,,7,,putin,"{'x': -148.22099999999998, 'y': 62.101600000000076, 'spatialReference': {'wkid': 4269, 'latestWkid': 4269}}"
7,8,,,,I-III,III,I,,,,,,Chilikadrotna,Twin Lakes (Lake Clark Nat.Park & Preserve) to points along Mulchatna River,http://www.americanwhitewater.org/content/River/detail/id/8/,,8,,putin,"{'x': -154.04299999999998, 'y': 60.66570000000007, 'spatialReference': {'wkid': 4269, 'latestWkid': 4269}}"
8,9,,,,II,II,,,,,,,Chitina,Tana River to Copper River,http://www.americanwhitewater.org/content/River/detail/id/9/,,9,,putin,"{'x': -142.83499999999998, 'y': 61.214500000000044, 'spatialReference': {'wkid': 4269, 'latestWkid': 4269}}"
9,10,,,,II-III,III,II,,,,,,Chitistone,Glacier Creek to Nizina River,http://www.americanwhitewater.org/content/River/detail/id/10/,,10,,putin,"{'x': -142.404, 'y': 61.45900000000006, 'spatialReference': {'wkid': 4269, 'latestWkid': 4269}}"
